x coord, y coord, z coord		 x vel, y vel, z vel		 age,  color		 FELASTIDX[4*7],[0]curIdx, [1]elastLim, [2]restLn, [3]modulus, [4]damping, [5]partID, [6]bond index,,  ,[0]curIdx, [1]elastLim, [2]restLn, [3]modulus, [4]damping, [5]partID, [6]bond index,,  ,[0]curIdx, [1]elastLim, [2]restLn, [3]modulus, [4]damping, [5]partID, [6]bond index,,  ,[0]curIdx, [1]elastLim, [2]restLn, [3]modulus, [4]damping, [5]partID, [6]bond index,,  		Particle_ID, mass, radius, FNERVEIDX,		 Particle_Idx[4*2], , , , , , , , , , , , 		FCONC[16], , , , , , , , , , , , , , , , 		FEPIGEN[16] 
100.099998,80.099998,100.099998,	0.000000,0.000000,0.000000,	 0, 4278203136,, 	0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		 	1, 975, 13, 0, 		4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 		1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 		0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,  
100.099998,80.099998,101.099998,	0.000000,0.000000,0.000000,	 0, 4278203136,, 	0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		 	2, 975, 13, 0, 		4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 		1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 		0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,  
100.099998,80.099998,102.099998,	0.000000,0.000000,0.000000,	 0, 4278203136,, 	0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		 	3, 975, 13, 0, 		4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 		1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 		0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,  
100.099998,80.099998,103.099998,	0.000000,0.000000,0.000000,	 0, 4278203136,, 	0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		 	4, 975, 13, 0, 		4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 		1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 		0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,  
100.099998,80.099998,104.099998,	0.000000,0.000000,0.000000,	 0, 4278203136,, 	0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		 	5, 975, 13, 0, 		4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 		1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 		0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,  
100.099998,80.099998,105.099998,	0.000000,0.000000,0.000000,	 0, 4278203136,, 	0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		 	6, 975, 13, 0, 		4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 		1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 		0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,  
100.099998,81.099998,100.099998,	0.000000,0.000000,0.000000,	 0, 4278203136,, 	0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		 	7, 975, 13, 0, 		4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 		1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 		0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,  
100.099998,81.099998,101.099998,	0.000000,0.000000,0.000000,	 0, 4278203136,, 	0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		 	8, 975, 13, 0, 		4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 		1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 		0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,  
100.099998,81.099998,102.099998,	0.000000,0.000000,0.000000,	 0, 4278203136,, 	0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		 	9, 975, 13, 0, 		4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 		1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 		0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,  
100.099998,81.099998,103.099998,	0.000000,0.000000,0.000000,	 0, 4278203136,, 	0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 		 	10, 975, 13, 1, 		4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 4294967295, 4294967295,, 		1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 		0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,  
